city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop,lon,lat
Albuquerque,1975,832.523983538174,10.4807887142867,63.2340919095298,286.125531900027,472.683571014331,286238,-106.65114,35.08449
Arlington,1975,247.159444513594,4.44531375024449,24.8937570013692,100.464090755526,117.356283006455,112478,-97.10807,32.73569
Atlanta,1975,1637.43619848996,37.7101576896108,90.3005397648517,792.320988862254,717.104512173247,490584,-84.38798,33.749
Aurora,1975,523.76217254149,6.00054862158826,37.7177341928405,146.584830613085,333.459059113976,116656,-104.83192,39.72943
Austin,1975,404.460719041278,10.9853528628495,63.2490013315579,176.098535286285,154.127829560586,300400,-97.74306,30.26715
Baltimore,1975,1861.59009373915,29.9733827103345,53.5817613702118,1047.91112139799,730.123828260618,864100,-76.61632,39.44307
Baltimore County,1975,196.058889300697,3.89314712670169,21.3344462543253,116.794413801051,54.0368821186195,642154,-76.61632,39.44307
Boston,1975,1848.01662013893,19.3144192689736,73.5246380575213,1262.4164123872,492.761150425242,616120,-71.05977,42.35843
Buffalo,1975,793.320008714679,14.919152402694,45.4678930367816,554.139946385776,178.793016889428,422276,-78.87837,42.88645
Charlotte,1975,739.022445374528,25.9439991148518,27.0885873110953,313.617165770708,372.372693177873,262103,-80.84313,35.22709
Chicago,1975,1179.68253968254,25.968253968254,52.6031746031746,703.84126984127,397.269841269841,315e4,-87.65005,41.85003
Cincinnati,1975,825.628162735049,14.768083402751,60.226090126844,402.661024028133,347.972965177321,433367,-84.45689,39.162
Cleveland,1975,1576.3769242542,43.6409260968192,74.4017177553411,1075.87005308131,382.464227320735,659931,-81.703132,41.489644
Columbus,1975,694.836041389882,10.8240790367268,72.6260786980379,419.34577171319,192.040111941927,572797,-82.99879,39.96118
Dallas,1975,885.31396552422,27.4094591547015,63.2614943359567,391.596745560419,403.046266473143,864665,-96.80667,32.78306
Denver,1975,976.108946353367,14.5629157318849,94.462156098713,505.372535128114,361.711339394655,508140,-104.9847,39.73915
Detroit,1975,2121.33947295671,44.1902091809523,99.4105179678926,1488.15590696739,489.582838840471,1432444,-83.04575,42.33143
El Paso,1975,438.482384823848,5.69105691056911,33.0623306233062,227.642276422764,172.086720867209,369e3,-106.48693,31.75872
Fairfax,1975,164.991135569424,4.30411658007194,21.3156249679753,88.7467847224357,50.6246092989414,487905,-77.27622,38.83469
Fort Worth,1975,508.556815946495,18.0971739558062,44.3249622975543,316.569405284899,129.565274408236,381275,-97.32085,32.72541
Fresno,1975,646.458923512748,14.1643059490085,47.5920679886686,321.246458923513,263.456090651558,176500,-119.77237,36.74773
Houston,1975,650.275222940054,25.2852423084042,42.8464624707252,467.959153039111,114.184365121814,1372342,-95.36327,29.76328
Indianapolis,1975,924.691752861976,18.8712602624893,69.7243405487762,614.20986033281,221.8862917179,503411,-86.15804,39.76838
Jacksonville,1975,843.601232147858,16.7651697151027,58.2175124172796,318.169759318487,450.448790696989,542792,-81.65565,30.33218
Kansas City,1975,1241.47914306861,23.3084028836992,61.7468216743612,629.940256883135,526.483661627417,489094,-94.57857,39.09973
Las Vegas,1975,1040.98946168725,14.8483462152769,67.8208246049136,539.75745025804,418.562840609023,249186,-115.13722,36.17497
Long Beach,1975,935.854770834434,15.8470234007712,49.5953139764877,574.894793372423,295.517640084752,340758,-118.18923,33.76696
Los Angeles,1975,1113.78603732474,20.2939472020361,64.7647990129962,534.456118551818,494.271172557895,2729878,-118.24368,34.05223
Los Angeles County,1975,957.289556627901,13.4912131142412,46.0460969333886,298.664174376862,599.088072203408,1022888,-118.26102,34.19801
Louisville,1975,NA,NA,NA,NA,NA,NA,-85.75941,38.25424
Memphis,1975,839.774595774367,18.5619730139849,80.5898995023844,461.419712505975,279.203010752023,646483,-90.04898,35.14953
Mesa,1975,235.915741853396,1.76715911500672,19.4387502650739,86.590796635329,128.119035837987,113176,-111.82264,33.42227
Miami,1975,1771.38751560976,27.9407655769768,50.7495538030803,757.536878959463,935.160317270244,350742,-80.19366,25.77427
Miami-Dade County,1975,1081.32527690607,15.1663049879396,28.0737985946966,391.419743624908,646.665429698529,619795,-80.49867,25.60897
Milwaukee,1975,475.110807287998,10.3800738171535,21.6498682472059,291.82836103083,151.252504192808,674369,-87.90647,43.0389
Minneapolis,1975,820.468797024012,11.594117095649,75.7317861354094,453.403983442614,279.73891035034,405378,-93.26384,44.97997
Rockville,1975,194.923522249905,3.8299347701636,16.9323431944075,116.510647218661,57.6505970666731,496092,-77.15276,39.084
Nashville,1975,702.402135231317,20.6850533807829,24.4661921708185,445.507117437722,211.743772241993,449600,-86.78444,36.16589
Mineola,1975,90.2377806413153,1.63573016268245,2.9988386315845,62.3394939777868,23.2637178692615,1100426,-73.64068,40.74927
New Orleans,1975,1047.84817828631,27.6255651875916,41.4383477813874,628.743876041641,350.040389275686,571934,-90.07507,29.95465
New York City,1975,1780.82712226841,22.1623263086618,52.0848349600526,1120.78050189518,585.799459104513,7422506,-73.992602,40.742185
Newark,1975,1914.86678312577,32.7373525142018,79.6966696452291,1146.61235486217,655.820406104174,372663,-74.17237,40.73566
Oakland,1975,1746.86452621481,32.864739391499,93.5608797091323,943.010765422741,677.428141691439,337748,-122.282147,37.816516
Oklahoma City,1975,694.124416464235,15.8820665432552,64.8300749060745,258.278852637855,355.133422377051,384081,-97.51643,35.46756
Omaha,1975,648.970717112642,9.19801016380123,45.4790502543505,309.41084189898,284.88281479551,391389,-95.93779,41.25861
Orlando,1975,942.114016056459,17.7279519150409,72.6001840330246,256.633208674878,595.152671433516,118457,-81.37924,28.53834
Philadelphia,1975,867.222831982745,23.09833038896,38.0193208241272,552.501442981904,253.603737787753,1883253,-75.16379,39.95234
Phoenix,1975,695.91016187508,11.2267718091269,46.5536804351796,290.099783547839,348.029926082934,668046,-112.07404,33.44838
Pittsburgh,1975,1036.77233381272,13.1501222126437,49.4695073713741,572.76087859515,401.391825633554,479083,-79.99589,40.44062
Portland,1975,1092.39238219797,12.8642871308888,76.917716803439,493.93502462975,508.675353633893,373126,-122.67621,45.52345
Upper Marlboro,1975,728.243995982102,8.07794159999438,45.8335382086638,377.029143808433,297.303372365011,569452,-76.74969,38.81595
Raleigh,1975,480.859010270775,11.3378684807256,13.3386688008537,147.392290249433,308.790182739763,149940,-78.63861,35.7721
Sacramento,1975,917.131189304699,15.9699460824201,58.93670578036,428.907123356426,413.317414085492,262994,-121.4944,38.58157
Salt Lake City,1975,594.444444444444,6.11111111111111,55,323.333333333333,210,18e4,-111.89105,40.76078
San Antonio,1975,549.157533551678,17.0392318558195,35.7693798500027,225.021916874563,271.327004971293,768814,-98.49363,29.42412
San Diego,1975,502.00790151851203,8.32560396402819,29.7900516837884,286.062548701531,177.829697169165,768713,-117.15726,32.71533
San Francisco,1975,1363.77815954876,20.5977220113526,81.6445937696369,848.835109264945,412.700734502826,669977,-122.41942,37.77493
San Jose,1975,385.170569036728,7.28110716515553,42.5944769161599,161.458551387324,173.836433568088,549367,-121.89496,37.33939
Seattle,1975,788.679245283019,10.3277060575968,64.3495531281033,417.676266137041,296.325719960278,503500,-122.33207,47.60621
St. Louis,1975,1856.41476274165,42.1792618629174,81.195079086116,1105.09666080844,627.943760984183,569e3,-90.44341,38.64068
Hauppauge,1975,79.1656401412499,1.06758643344009,7.3909830007391,43.6067997043607,27.10027100271,1217700,-73.20261,40.82565
Tampa,1975,1088.27459696396,23.0159084585181,55.6504055265662,478.868304345884,530.739978632992,291103,-82.45843,27.94752
Tucson,1975,531.571218795888,6.75477239353891,40.2349486049927,207.635829662261,276.945668135095,340500,-110.92648,32.22174
Tulsa,1975,508.630609896433,11.2197928653625,39.1254315304948,167.146144994246,291.139240506329,347600,-95.99278,36.15398
Virginia Beach,1975,208.110795977752,10.1292865298906,17.496040369811,89.3218903090353,91.1635787690154,217192,-75.97798,36.85293
Washington,1975,1774.30167597765,32.8212290502793,72.6256983240224,1276.11731843575,392.737430167598,716e3,-77.046176,38.889187
Wichita,1975,438.589723808054,13.8867458725505,20.4443758679216,246.875482178676,157.383119888906,259240,-97.33754,37.69224
Albuquerque,1976,828.015670709801,9.5803466032539,63.6408738644723,298.017210408362,456.777239833713,292265,-106.65114,35.08449
